pair_id,template,cue,negated,gold_label,text
124,distractor,excellent,1,negative,"I expected the hotel to be excellent, but it was not."
125,distractor,enjoyable,0,positive,"I expected the hotel to be enjoyable, and it was."
125,distractor,enjoyable,1,negative,"I expected the hotel to be enjoyable, but it was not."
126,distractor,pleasant,0,positive,"I expected the hotel to be pleasant, and it was."
126,distractor,pleasant,1,negative,"I expected the hotel to be pleasant, but it was not."
127,distractor,impressive,0,positive,"I expected the hotel to be impressive, and it was."
127,distractor,impressive,1,negative,"I expected the hotel to be impressive, but it was not."
128,distractor,lovely,0,positive,"I expected the hotel to be lovely, and it was."
128,distractor,lovely,1,negative,"I expected the hotel to be lovely, but it was not."
129,distractor,satisfying,0,positive,"I expected the hotel to be satisfying, and it was."
129,distractor,satisfying,1,negative,"I expected the hotel to be satisfying, but it was not."
130,distractor,great,0,positive,"I expected the restaurant to be great, and it was."
130,distractor,great,1,negative,"I expected the restaurant to be great, but it was not."
131,distractor,good,0,positive,"I expected the restaurant to be good, and it was."
131,distractor,good,1,negative,"I expected the restaurant to be good, but it was not."
132,distractor,nice,0,positive,"I expected the restaurant to be nice, and it was."
132,distractor,nice,1,negative,"I expected the restaurant to be nice, but it was not."
133,distractor,wonderful,0,positive,"I expected the restaurant to be wonderful, and it was."
133,distractor,wonderful,1,negative,"I expected the restaurant to be wonderful, but it was not."
134,distractor,excellent,0,positive,"I expected the restaurant to be excellent, and it was."
134,distractor,excellent,1,negative,"I expected the restaurant to be excellent, but it was not."
135,distractor,enjoyable,0,positive,"I expected the restaurant to be enjoyable, and it was."
135,distractor,enjoyable,1,negative,"I expected the restaurant to be enjoyable, but it was not."
136,distractor,pleasant,0,positive,"I expected the restaurant to be pleasant, and it was."
136,distractor,pleasant,1,negative,"I expected the restaurant to be pleasant, but it was not."
137,distractor,impressive,0,positive,"I expected the restaurant to be impressive, and it was."
137,distractor,impressive,1,negative,"I expected the restaurant to be impressive, but it was not."
138,distractor,lovely,0,positive,"I expected the restaurant to be lovely, and it was."
138,distractor,lovely,1,negative,"I expected the restaurant to be lovely, but it was not."
139,distractor,satisfying,0,positive,"I expected the restaurant to be satisfying, and it was."
139,distractor,satisfying,1,negative,"I expected the restaurant to be satisfying, but it was not."
140,distractor,great,0,positive,"I expected the meal to be great, and it was."
140,distractor,great,1,negative,"I expected the meal to be great, but it was not."
141,distractor,good,0,positive,"I expected the meal to be good, and it was."
141,distractor,good,1,negative,"I expected the meal to be good, but it was not."
142,distractor,nice,0,positive,"I expected the meal to be nice, and it was."
142,distractor,nice,1,negative,"I expected the meal to be nice, but it was not."
143,distractor,wonderful,0,positive,"I expected the meal to be wonderful, and it was."
143,distractor,wonderful,1,negative,"I expected the meal to be wonderful, but it was not."
144,distractor,excellent,0,positive,"I expected the meal to be excellent, and it was."
144,distractor,excellent,1,negative,"I expected the meal to be excellent, but it was not."
145,distractor,enjoyable,0,positive,"I expected the meal to be enjoyable, and it was."
145,distractor,enjoyable,1,negative,"I expected the meal to be enjoyable, but it was not."
146,distractor,pleasant,0,positive,"I expected the meal to be pleasant, and it was."
146,distractor,pleasant,1,negative,"I expected the meal to be pleasant, but it was not."
147,distractor,impressive,0,positive,"I expected the meal to be impressive, and it was."
147,distractor,impressive,1,negative,"I expected the meal to be impressive, but it was not."
148,distractor,lovely,0,positive,"I expected the meal to be lovely, and it was."
148,distractor,lovely,1,negative,"I expected the meal to be lovely, but it was not."
149,distractor,satisfying,0,positive,"I expected the meal to be satisfying, and it was."
149,distractor,satisfying,1,negative,"I expected the meal to be satisfying, but it was not."
150,distractor,great,0,positive,"I expected the phone to be great, and it was."
150,distractor,great,1,negative,"I expected the phone to be great, but it was not."
151,distractor,good,0,positive,"I expected the phone to be good, and it was."
151,distractor,good,1,negative,"I expected the phone to be good, but it was not."
152,distractor,nice,0,positive,"I expected the phone to be nice, and it was."
152,distractor,nice,1,negative,"I expected the phone to be nice, but it was not."
153,distractor,wonderful,0,positive,"I expected the phone to be wonderful, and it was."
153,distractor,wonderful,1,negative,"I expected the phone to be wonderful, but it was not."
154,distractor,excellent,0,positive,"I expected the phone to be excellent, and it was."
154,distractor,excellent,1,negative,"I expected the phone to be excellent, but it was not."
155,distractor,enjoyable,0,positive,"I expected the phone to be enjoyable, and it was."
155,distractor,enjoyable,1,negative,"I expected the phone to be enjoyable, but it was not."
156,distractor,pleasant,0,positive,"I expected the phone to be pleasant, and it was."
156,distractor,pleasant,1,negative,"I expected the phone to be pleasant, but it was not."
157,distractor,impressive,0,positive,"I expected the phone to be impressive, and it was."
157,distractor,impressive,1,negative,"I expected the phone to be impressive, but it was not."
158,distractor,lovely,0,positive,"I expected the phone to be lovely, and it was."
158,distractor,lovely,1,negative,"I expected the phone to be lovely, but it was not."
159,distractor,satisfying,0,positive,"I expected the phone to be satisfying, and it was."
159,distractor,satisfying,1,negative,"I expected the phone to be satisfying, but it was not."
160,distractor,great,0,positive,"I expected the laptop to be great, and it was."
160,distractor,great,1,negative,"I expected the laptop to be great, but it was not."
161,distractor,good,0,positive,"I expected the laptop to be good, and it was."
161,distractor,good,1,negative,"I expected the laptop to be good, but it was not."
162,distractor,nice,0,positive,"I expected the laptop to be nice, and it was."
162,distractor,nice,1,negative,"I expected the laptop to be nice, but it was not."
163,distractor,wonderful,0,positive,"I expected the laptop to be wonderful, and it was."
163,distractor,wonderful,1,negative,"I expected the laptop to be wonderful, but it was not."
164,distractor,excellent,0,positive,"I expected the laptop to be excellent, and it was."
164,distractor,excellent,1,negative,"I expected the laptop to be excellent, but it was not."
165,distractor,enjoyable,0,positive,"I expected the laptop to be enjoyable, and it was."
165,distractor,enjoyable,1,negative,"I expected the laptop to be enjoyable, but it was not."
166,distractor,pleasant,0,positive,"I expected the laptop to be pleasant, and it was."
166,distractor,pleasant,1,negative,"I expected the laptop to be pleasant, but it was not."
167,distractor,impressive,0,positive,"I expected the laptop to be impressive, and it was."
167,distractor,impressive,1,negative,"I expected the laptop to be impressive, but it was not."
168,distractor,lovely,0,positive,"I expected the laptop to be lovely, and it was."
168,distractor,lovely,1,negative,"I expected the laptop to be lovely, but it was not."
169,distractor,satisfying,0,positive,"I expected the laptop to be satisfying, and it was."
169,distractor,satisfying,1,negative,"I expected the laptop to be satisfying, but it was not."
170,distractor,great,0,positive,"I expected the game to be great, and it was."
170,distractor,great,1,negative,"I expected the game to be great, but it was not."
171,distractor,good,0,positive,"I expected the game to be good, and it was."
171,distractor,good,1,negative,"I expected the game to be good, but it was not."
172,distractor,nice,0,positive,"I expected the game to be nice, and it was."
172,distractor,nice,1,negative,"I expected the game to be nice, but it was not."
173,distractor,wonderful,0,positive,"I expected the game to be wonderful, and it was."
173,distractor,wonderful,1,negative,"I expected the game to be wonderful, but it was not."
174,distractor,excellent,0,positive,"I expected the game to be excellent, and it was."
174,distractor,excellent,1,negative,"I expected the game to be excellent, but it was not."
175,distractor,enjoyable,0,positive,"I expected the game to be enjoyable, and it was."
175,distractor,enjoyable,1,negative,"I expected the game to be enjoyable, but it was not."
176,distractor,pleasant,0,positive,"I expected the game to be pleasant, and it was."
176,distractor,pleasant,1,negative,"I expected the game to be pleasant, but it was not."
177,distractor,impressive,0,positive,"I expected the game to be impressive, and it was."
177,distractor,impressive,1,negative,"I expected the game to be impressive, but it was not."
178,distractor,lovely,0,positive,"I expected the game to be lovely, and it was."
178,distractor,lovely,1,negative,"I expected the game to be lovely, but it was not."
179,distractor,satisfying,0,positive,"I expected the game to be satisfying, and it was."
179,distractor,satisfying,1,negative,"I expected the game to be satisfying, but it was not."
180,distractor,great,0,positive,"I expected the show to be great, and it was."
180,distractor,great,1,negative,"I expected the show to be great, but it was not."
181,distractor,good,0,positive,"I expected the show to be good, and it was."
181,distractor,good,1,negative,"I expected the show to be good, but it was not."
182,distractor,nice,0,positive,"I expected the show to be nice, and it was."
182,distractor,nice,1,negative,"I expected the show to be nice, but it was not."
183,distractor,wonderful,0,positive,"I expected the show to be wonderful, and it was."
183,distractor,wonderful,1,negative,"I expected the show to be wonderful, but it was not."
184,distractor,excellent,0,positive,"I expected the show to be excellent, and it was."
184,distractor,excellent,1,negative,"I expected the show to be excellent, but it was not."
185,distractor,enjoyable,0,positive,"I expected the show to be enjoyable, and it was."
185,distractor,enjoyable,1,negative,"I expected the show to be enjoyable, but it was not."
186,distractor,pleasant,0,positive,"I expected the show to be pleasant, and it was."
186,distractor,pleasant,1,negative,"I expected the show to be pleasant, but it was not."
187,distractor,impressive,0,positive,"I expected the show to be impressive, and it was."
187,distractor,impressive,1,negative,"I expected the show to be impressive, but it was not."
188,distractor,lovely,0,positive,"I expected the show to be lovely, and it was."
188,distractor,lovely,1,negative,"I expected the show to be lovely, but it was not."
189,distractor,satisfying,0,positive,"I expected the show to be satisfying, and it was."
189,distractor,satisfying,1,negative,"I expected the show to be satisfying, but it was not."
190,distractor,great,0,positive,"I expected the app to be great, and it was."
190,distractor,great,1,negative,"I expected the app to be great, but it was not."
191,distractor,good,0,positive,"I expected the app to be good, and it was."
191,distractor,good,1,negative,"I expected the app to be good, but it was not."
192,distractor,nice,0,positive,"I expected the app to be nice, and it was."
192,distractor,nice,1,negative,"I expected the app to be nice, but it was not."
193,distractor,wonderful,0,positive,"I expected the app to be wonderful, and it was."
193,distractor,wonderful,1,negative,"I expected the app to be wonderful, but it was not."
194,distractor,excellent,0,positive,"I expected the app to be excellent, and it was."
194,distractor,excellent,1,negative,"I expected the app to be excellent, but it was not."
195,distractor,enjoyable,0,positive,"I expected the app to be enjoyable, and it was."
195,distractor,enjoyable,1,negative,"I expected the app to be enjoyable, but it was not."
196,distractor,pleasant,0,positive,"I expected the app to be pleasant, and it was."
196,distractor,pleasant,1,negative,"I expected the app to be pleasant, but it was not."
197,distractor,impressive,0,positive,"I expected the app to be impressive, and it was."
197,distractor,impressive,1,negative,"I expected the app to be impressive, but it was not."
198,distractor,lovely,0,positive,"I expected the app to be lovely, and it was."
198,distractor,lovely,1,negative,"I expected the app to be lovely, but it was not."
199,distractor,satisfying,0,positive,"I expected the app to be satisfying, and it was."
199,distractor,satisfying,1,negative,"I expected the app to be satisfying, but it was not."
